net,length_um
_0090_,13.56µm
_0654_,13.56µm
_0786_,13.5µm
_0963_,13.5µm
_0662_,13.475µm
_0771_,13.46µm
net18,13.42µm
_0594_,13.415µm
_0424_,13.38µm
_0508_,13.38µm
_0544_,13.34µm
_0861_,13.34µm
s_axis_tdata[11],13.32µm
_0992_,13.3µm
_0081_,13.26µm
_0225_,13.26µm
_1011_,13.26µm
_0500_,13.18µm
_0226_,13.115µm
_0101_,13.08µm
_0798_,13.08µm
_0144_,13.06µm
_0592_,13.04µm
_0909_,13.04µm
s_axis_tdata[0],13µm
_0464_,12.975µm
_0393_,12.96µm
_0965_,12.94µm
_0800_,12.9µm
_0482_,12.89µm
_0860_,12.88µm
_0278_,12.86µm
_0279_,12.86µm
_0102_,12.84µm
_0375_,12.84µm
_0866_,12.8µm
_0639_,12.78µm
_0462_,12.76µm
_0958_,12.76µm
_0586_,12.74µm
_0852_,12.74µm
_0715_,12.7µm
_0756_,12.7µm
_0728_,12.68µm
_0745_,12.68µm
_0007_,12.665µm
s_axis_tdata[3],12.66µm
_0585_,12.64µm
_0651_,12.64µm
m_axis_tdata[4],12.62µm
_0907_,12.6µm
_0743_,12.565µm
_0935_,12.54µm
_0602_,12.52µm
_0697_,12.52µm
_0769_,12.52µm
_0308_,12.5µm
_0708_,12.5µm
_0467_,12.46µm
_0486_,12.46µm
_0729_,12.46µm
_0341_,12.4µm
_0626_,12.38µm
net55,12.32µm
_0782_,12.3µm
_0058_,12.26µm
internal_weight\[0\],12.2µm
_0429_,12.18µm
_0055_,12.16µm
_0528_,12.16µm
_0747_,12.16µm
_0672_,12.08µm
_0864_,12.04µm
_0936_,12.04µm
_0368_,12.02µm
_0546_,12.02µm
_0703_,12.02µm
_0862_,12.02µm
_0562_,12µm
_0949_,12µm
_0736_,11.98µm
_0337_,11.96µm
_0719_,11.92µm
_0954_,11.92µm
_0925_,11.84µm
_0185_,11.82µm
_0593_,11.78µm
_0734_,11.76µm
_0960_,11.72µm
_0273_,11.71µm
_0532_,11.7µm
internal_weight\[6\],11.7µm
_0395_,11.68µm
_0451_,11.66µm
_0802_,11.66µm
_0942_,11.6µm
_0986_,11.6µm
_0155_,11.58µm
_0403_,11.56µm
_0777_,11.54µm
_0459_,11.525µm
_0466_,11.5µm
_0439_,11.44µm
_0765_,11.44µm
net54,11.44µm
_0465_,11.42µm
_0099_,11.39µm
_0916_,11.38µm
_0706_,11.36µm
_0345_,11.34µm
_0292_,11.32µm
_0543_,11.32µm
_0238_,11.28µm
_0609_,11.28µm
m_axis_tdata[6],11.24µm
_0333_,11.22µm
_0591_,11.22µm
_0855_,11.2µm
_0890_,11.18µm
_0355_,11.16µm
_0384_,11.16µm
_0788_,11.16µm
_0894_,11.14µm
_0563_,11.12µm
_0415_,11.105µm
_0995_,11.07µm
_0821_,11.06µm
net8,11.04µm
s_axis_tdata[6],11.02µm
_0664_,10.98µm
_0758_,10.98µm
_0787_,10.98µm
_0173_,10.96µm
_0481_,10.96µm
_0933_,10.96µm
_0272_,10.94µm
m_axis_tready,10.93µm
_0190_,10.92µm
_0716_,10.92µm
_0436_,10.86µm
_0268_,10.84µm
_0742_,10.84µm
_0294_,10.82µm
_0690_,10.82µm
_0645_,10.8µm
_0547_,10.78µm
_0726_,10.76µm
_0737_,10.74µm
_0773_,10.74µm
_0944_,10.74µm
_0542_,10.72µm
s_axis_tdata[10],10.71µm
_0454_,10.7µm
_0154_,10.62µm
_0827_,10.62µm
_0770_,10.6µm
s_axis_tdata[7],10.56µm
_0555_,10.54µm
_0792_,10.54µm
_0903_,10.54µm
_0863_,10.52µm
_0826_,10.5µm
_0383_,10.48µm
_0610_,10.46µm
_1024_,10.46µm
_0175_,10.42µm
_0566_,10.42µm
_1031_,10.42µm
_0506_,10.38µm
_0759_,10.38µm
_0774_,10.38µm
_0789_,10.38µm
_0180_,10.36µm
_0164_,10.32µm
_0677_,10.32µm
_0851_,10.32µm
_0470_,10.3µm
_0293_,10.28µm
_0797_,10.28µm
_0901_,10.28µm
_0247_,10.25µm
_0276_,10.24µm
_0374_,10.22µm
_0059_,10.2µm
_0503_,10.2µm
net5,10.2µm
s_axis_tdata[2],10.19µm
_0799_,10.18µm
_0222_,10.16µm
_0113_,10.14µm
_0877_,10.14µm
_0819_,10.095µm
_0404_,10.08µm
_0501_,10.08µm
_0727_,10.08µm
_0584_,10.06µm
_0663_,10.06µm
_0918_,10.06µm
_0168_,10µm
_0872_,10µm
_0953_,9.98µm
_0400_,9.96µm
_0417_,9.96µm
_0784_,9.96µm
_0254_,9.92µm
_0914_,9.92µm
_1007_,9.92µm
_0248_,9.9µm
_0631_,9.9µm
_0854_,9.86µm
_0357_,9.84µm
_0917_,9.84µm
_0093_,9.82µm
_0507_,9.82µm
_0730_,9.82µm
_0511_,9.78µm
_0108_,9.74µm
_0580_,9.73µm
_0178_,9.72µm
_0796_,9.72µm
_0130_,9.7µm
_0558_,9.7µm
_0707_,9.68µm
_0886_,9.68µm
m_axis_tdata[26],9.64µm
s_axis_tdata[12],9.64µm
_0779_,9.62µm
_0475_,9.58µm
_0980_,9.58µm
_0234_,9.56µm
_0684_,9.54µm
_0969_,9.52µm
_0339_,9.5µm
_0410_,9.5µm
_0951_,9.49µm
_1025_,9.48µm
_0647_,9.46µm
_0412_,9.44µm
_0277_,9.42µm
_0876_,9.42µm
_0343_,9.38µm
_0714_,9.38µm
_0744_,9.36µm
_0767_,9.34µm
_0335_,9.32µm
_0994_,9.32µm
net7,9.32µm
_0648_,9.3µm
_0975_,9.3µm
_0444_,9.28µm
_0574_,9.28µm
_0627_,9.28µm
_0945_,9.28µm
_0702_,9.26µm
_0879_,9.26µm
_0812_,9.24µm
s_axis_tdata[15],9.21µm
_0372_,9.2µm
_1034_,9.2µm
m_axis_tdata[14],9.18µm
m_axis_tdata[15],9.18µm
m_axis_tdata[23],9.18µm
m_axis_tdata[24],9.18µm
m_axis_tdata[25],9.18µm
m_axis_tdata[27],9.18µm
m_axis_tdata[28],9.18µm
_1006_,9.16µm
_0445_,9.125µm
_0497_,9.12µm
_0889_,9.12µm
_0162_,9.06µm
_0397_,9.06µm
_0896_,9.05µm
_0073_,9.04µm
_0589_,9.04µm
_0674_,9.04µm
_0104_,9µm
_0303_,9µm
_0915_,9µm
_0832_,8.98µm
_1008_,8.96µm
m_axis_tdata[3],8.96µm
_0141_,8.94µm
_0793_,8.92µm
_0941_,8.92µm
_0371_,8.9µm
_0087_,8.86µm
_0075_,8.82µm
_0693_,8.82µm
_0456_,8.8µm
_0298_,8.78µm
_0332_,8.78µm
_0336_,8.78µm
_0859_,8.78µm
_0083_,8.74µm
aresetn,8.71µm
_0255_,8.7µm
_0381_,8.7µm
_0446_,8.66µm
_0848_,8.66µm
_0142_,8.64µm
_0837_,8.62µm
_0280_,8.585µm
_0595_,8.58µm
_0749_,8.58µm
_0416_,8.56µm
_0615_,8.56µm
_0245_,8.5µm
m_axis_tdata[5],8.5µm
m_axis_tdata[7],8.5µm
_0499_,8.48µm
net151,8.48µm
_0097_,8.46µm
_0764_,8.46µm
_0411_,8.4µm
_0761_,8.4µm
_0824_,8.38µm
_0312_,8.36µm
_0054_,8.32µm
_0847_,8.32µm
_0983_,8.28µm
_0069_,8.24µm
_0394_,8.24µm
_0434_,8.24µm
_0884_,8.24µm
_1004_,8.24µm
_0536_,8.2µm
_0331_,8.17µm
_0423_,8.16µm
net150,8.14µm
_0066_,8.1µm
net14,8.1µm
_0237_,8.09µm
_0887_,8.06µm
_0857_,8.04µm
_0970_,8.04µm
_0856_,8.035µm
_0286_,8.02µm
_0731_,8.02µm
_0361_,8µm
_0132_,7.98µm
_0223_,7.98µm
_0082_,7.94µm
_0472_,7.94µm
_0632_,7.94µm
_0966_,7.94µm
_0050_,7.92µm
_0353_,7.9µm
_0548_,7.9µm
_1017_,7.9µm
_0835_,7.88µm
_0961_,7.86µm
m_axis_tdata[16],7.79µm
_0457_,7.78µm
_0685_,7.78µm
_0895_,7.78µm
_0274_,7.74µm
_0741_,7.74µm
_0458_,7.68µm
net146,7.68µm
_0334_,7.66µm
_0356_,7.66µm
_0937_,7.66µm
_0354_,7.64µm
_0385_,7.64µm
_0480_,7.64µm
_0598_,7.64µm
_0981_,7.64µm
_0258_,7.62µm
internal_valid,7.62µm
_0363_,7.58µm
_0071_,7.56µm
_0150_,7.56µm
_0227_,7.56µm
_0263_,7.56µm
_0565_,7.56µm
_0567_,7.56µm
net138,7.56µm
net142,7.56µm
net143,7.56µm
_0717_,7.54µm
_0816_,7.54µm
_0138_,7.535µm
_0148_,7.52µm
_0327_,7.52µm
_0556_,7.5µm
_0683_,7.46µm
_0947_,7.46µm
_0074_,7.44µm
_0468_,7.44µm
_0314_,7.42µm
_0461_,7.4µm
_0560_,7.4µm
_0034_,7.365µm
_0950_,7.34µm
_0549_,7.32µm
_0974_,7.32µm
_0143_,7.28µm
_0699_,7.28µm
_0772_,7.28µm
_0926_,7.26µm
_1001_,7.23µm
_0344_,7.22µm
_0810_,7.22µm
_0172_,7.2µm
_0264_,7.12µm
_0266_,7.12µm
_0430_,7.12µm
_0579_,7.12µm
_0955_,7.12µm
_0987_,7.12µm
m_axis_tdata[21],7.11µm
m_axis_tdata[2],7.11µm
_0834_,7.08µm
_1033_,7.08µm
_0428_,7.06µm
_0732_,7.06µm
_1020_,7.06µm
_0766_,6.98µm
_0206_,6.94µm
_0326_,6.94µm
_0768_,6.94µm
_0833_,6.88µm
_0330_,6.86µm
_0611_,6.86µm
_0763_,6.86µm
_0738_,6.84µm
_0922_,6.82µm
_0421_,6.74µm
_0533_,6.74µm
_0604_,6.74µm
_0491_,6.72µm
_0612_,6.72µm
_0360_,6.66µm
_0163_,6.64µm
_0251_,6.64µm
_0977_,6.64µm
internal_rssi\[0\],6.64µm
_0418_,6.62µm
