Generating synthetic dataset ...
Train: (2000, 1, 16, 16)  Val: (400, 1, 16, 16)
Config: {'conv_layers': [(8, 3, 1)], 'pool_size': 2, 'pool_stride': 2, 'dense_layers': [64], 'n_classes': 10, 'batch_size': 32, 'n_epochs': 10, 'lr': 0.001, 'weight_decay': 0.0001, 'seed': 42, 'input_shape': (1, 16, 16)}

Epoch   1 | loss 0.6511 | val acc 1.0000
Epoch   2 | loss 0.0207 | val acc 1.0000
Epoch   3 | loss 0.0059 | val acc 1.0000
Epoch   4 | loss 0.0029 | val acc 1.0000
Epoch   5 | loss 0.0019 | val acc 1.0000
Epoch   6 | loss 0.0013 | val acc 1.0000
Epoch   7 | loss 0.0010 | val acc 1.0000
Epoch   8 | loss 0.0008 | val acc 1.0000
Epoch   9 | loss 0.0006 | val acc 1.0000
Epoch  10 | loss 0.0005 | val acc 1.0000

Final val accuracy: 1.0000
         1510658 function calls (1508118 primitive calls) in 10.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.001    0.000 __init__.py:188(_safe_realpath)
      152    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:423(__exit__)
      532    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
        3    0.000    0.000    0.001    0.000 <frozen ntpath>:661(realpath)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
        3    0.001    0.000    0.001    0.000 cnn.py:15(he_init)
       27    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:76(add_newdoc_for_scalar_type)
        2    0.000    0.000    0.001    0.000 cnn.py:208(__init__)
      146    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
      298    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      117    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:424(_classify_pyc)
     2280    0.001    0.000    0.001    0.000 _stride_tricks_impl.py:378(<genexpr>)
      251    0.000    0.000    0.001    0.000 typing.py:1276(__getattr__)
    93/33    0.000    0.000    0.001    0.000 annotationlib.py:907(get_annotations)
      760    0.001    0.000    0.001    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        8    0.001    0.000    0.001    0.000 {built-in method nt._getfinalpathname}
     1515    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      433    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     2006    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      351    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      117    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:457(_validate_timestamp_pyc)
       36    0.000    0.000    0.001    0.000 typing.py:1541(__init__)
      532    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      760    0.001    0.000    0.001    0.000 _stride_tricks_impl.py:24(_maybe_view_as_subclass)
       25    0.000    0.000    0.001    0.000 dtypes.py:30(_add_dtype_helper)
       34    0.000    0.000    0.001    0.000 enum.py:239(__set_name__)
      978    0.000    0.000    0.001    0.000 typing.py:1355(__eq__)
      373    0.001    0.000    0.001    0.000 {method 'expandtabs' of 'str' objects}
        3    0.000    0.000    0.001    0.000 _py_warnings.py:254(filterwarnings)
        8    0.000    0.000    0.001    0.000 dataclasses.py:541(__annotate__)
      532    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:985(find_spec)
        1    0.000    0.000    0.001    0.001 _nanfunctions_impl.py:1(<module>)
       50    0.000    0.000    0.001    0.000 typing.py:365(_flatten_literal_params)
       13    0.000    0.000    0.001    0.000 typing.py:1113(_generic_class_getitem)
      150    0.000    0.000    0.001    0.000 __init__.py:82(find_spec)
       13    0.000    0.000    0.000    0.000 typing.py:2128(__init_subclass__)
       69    0.000    0.000    0.000    0.000 enum.py:342(__setitem__)
        1    0.000    0.000    0.000    0.000 _scimath_impl.py:1(<module>)
     16/8    0.000    0.000    0.000    0.000 annotationlib.py:1114(_get_and_call_annotate)
      840    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      760    0.000    0.000    0.000    0.000 {method '__exit__' of 'numpy.nditer' objects}
      617    0.000    0.000    0.000    0.000 _parser.py:261(get)
      630    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
      761    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
      532    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
      702    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      116    0.000    0.000    0.000    0.000 inspect.py:2680(__init__)
      942    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     2403    0.000    0.000    0.000    0.000 {method 'isspace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
      350    0.000    0.000    0.000    0.000 function_base.py:456(_needs_add_docstring)
  540/521    0.000    0.000    0.000    0.000 typing.py:1361(__hash__)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
     1264    0.000    0.000    0.000    0.000 cnn.py:224(params)
      760    0.000    0.000    0.000    0.000 {method '__enter__' of 'numpy.nditer' objects}
     1906    0.000    0.000    0.000    0.000 typing.py:1345(<genexpr>)
       41    0.000    0.000    0.000    0.000 dataclasses.py:825(_get_field)
      630    0.000    0.000    0.000    0.000 {built-in method numpy.lib.array_utils.normalize_axis_index}
       13    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
      150    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
     1065    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
     1334    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:494(_verbose_message)
      458    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      577    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1229(__exit__)
     1196    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1736    0.000    0.000    0.000    0.000 typing.py:777(<genexpr>)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:448(cb)
        4    0.000    0.000    0.000    0.000 inspect.py:3255(__str__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
     1065    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      632    0.000    0.000    0.000    0.000 cnn.py:111(params)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
      282    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
