Generating synthetic dataset ...
Train: (2000, 1, 16, 16)  Val: (400, 1, 16, 16)
Config: {'conv_layers': [(8, 3, 1)], 'pool_size': 2, 'pool_stride': 2, 'dense_layers': [64], 'n_classes': 10, 'batch_size': 32, 'n_epochs': 10, 'lr': 0.001, 'weight_decay': 0.0001, 'seed': 42, 'input_shape': (1, 16, 16)}

Epoch   1 | loss 0.6511 | val acc 1.0000
Epoch   2 | loss 0.0207 | val acc 1.0000
Epoch   3 | loss 0.0059 | val acc 1.0000
Epoch   4 | loss 0.0029 | val acc 1.0000
Epoch   5 | loss 0.0019 | val acc 1.0000
Epoch   6 | loss 0.0013 | val acc 1.0000
Epoch   7 | loss 0.0010 | val acc 1.0000
Epoch   8 | loss 0.0008 | val acc 1.0000
Epoch   9 | loss 0.0006 | val acc 1.0000
Epoch  10 | loss 0.0005 | val acc 1.0000

Final val accuracy: 1.0000
         1510658 function calls (1508118 primitive calls) in 10.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 threading.py:869(Thread)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       12    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       18    0.000    0.000    0.000    0.000 argparse.py:1475(_registry_get)
       13    0.000    0.000    0.000    0.000 mixins.py:37(_inplace_binary_method)
        1    0.000    0.000    0.000    0.000 pickle.py:418(_Pickler)
        8    0.000    0.000    0.000    0.000 annotationlib.py:335(__init__)
        6    0.000    0.000    0.000    0.000 _nbit_base.py:57(__init_subclass__)
        1    0.000    0.000    0.000    0.000 npyio.py:1(<module>)
       17    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot_ex}
       22    0.000    0.000    0.000    0.000 _type_aliases.py:128(<lambda>)
        4    0.000    0.000    0.000    0.000 argparse.py:2644(_get_value)
       50    0.000    0.000    0.000    0.000 __init__.py:89(<lambda>)
       26    0.000    0.000    0.000    0.000 typing.py:2133(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:903(hugepage_setup)
        2    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:328(Integral)
        1    0.000    0.000    0.000    0.000 platform.py:938(uname_result)
       14    0.000    0.000    0.000    0.000 mixins.py:27(_reflected_binary_method)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:254(basename)
        9    0.000    0.000    0.000    0.000 typing.py:310(_check_generic_specialization)
        4    0.000    0.000    0.000    0.000 inspect.py:2404(_descriptor_get)
        7    0.000    0.000    0.000    0.000 argparse.py:616(_metavar_formatter)
        4    0.000    0.000    0.000    0.000 getlimits.py:436(max)
       42    0.000    0.000    0.000    0.000 _compat_pickle.py:164(<genexpr>)
       33    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:529(abspath)
        2    0.000    0.000    0.000    0.000 {built-in method nt.isatty}
        5    0.000    0.000    0.000    0.000 {built-in method _winapi.LCMapStringEx}
        1    0.000    0.000    0.000    0.000 numbers.py:172(Real)
        4    0.000    0.000    0.000    0.000 _py_warnings.py:111(_get_filters)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:472(__enter__)
        1    0.000    0.000    0.000    0.000 contextlib.py:472(_BaseExitStack)
        5    0.000    0.000    0.000    0.000 threading.py:126(RLock)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
       65    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        4    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       44    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 __init__.py:488(__getitem__)
        1    0.000    0.000    0.000    0.000 _zstdfile.py:20(ZstdFile)
        1    0.000    0.000    0.000    0.000 contextlib.py:17(AbstractContextManager)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:488(__exit__)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:80(isabs)
       33    0.000    0.000    0.000    0.000 dataclasses.py:419(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:436(_load_library)
        1    0.000    0.000    0.000    0.000 threading.py:602(__init__)
        4    0.000    0.000    0.000    0.000 _compiler.py:421(_generate_overlap_table)
       46    0.000    0.000    0.000    0.000 dataclasses.py:1169(<genexpr>)
        6    0.000    0.000    0.000    0.000 {built-in method nt._path_normpath}
       31    0.000    0.000    0.000    0.000 _compiler.py:442(_get_iscased)
       44    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        7    0.000    0.000    0.000    0.000 argparse.py:876(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:3606(TextIO)
        5    0.000    0.000    0.000    0.000 dataclasses.py:536(_make_annotate_function)
        7    0.000    0.000    0.000    0.000 enum.py:187(__get__)
        1    0.000    0.000    0.000    0.000 random.py:901(getrandbits)
        2    0.000    0.000    0.000    0.000 __init__.py:322(get_default_scheme)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        5    0.000    0.000    0.000    0.000 enum.py:334(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
       17    0.000    0.000    0.000    0.000 typing.py:529(__init__)
        7    0.000    0.000    0.000    0.000 argparse.py:624(format)
       23    0.000    0.000    0.000    0.000 overrides.py:180(array_function_from_dispatcher)
       16    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        4    0.000    0.000    0.000    0.000 inspect.py:2071(_signature_is_functionlike)
        8    0.000    0.000    0.000    0.000 typing.py:1136(<genexpr>)
        1    0.000    0.000    0.000    0.000 argparse.py:2225(consume_positionals)
        1    0.000    0.000    0.000    0.000 _expired_attrs_2_0.py:1(<module>)
       33    0.000    0.000    0.000    0.000 dataclasses.py:1233(<genexpr>)
       41    0.000    0.000    0.000    0.000 dataclasses.py:762(_is_kw_only)
        1    0.000    0.000    0.000    0.000 __init__.py:160(py_object)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
        1    0.000    0.000    0.000    0.000 threading.py:438(notify_all)
        4    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 argparse.py:1837(ArgumentParser)
        4    0.000    0.000    0.000    0.000 annotationlib.py:424(__get_ast)
        2    0.000    0.000    0.000    0.000 __init__.py:421(_FuncPtr)
       38    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       12    0.000    0.000    0.000    0.000 inspect.py:184(isclass)
        1    0.000    0.000    0.000    0.000 _exceptions.py:108(_ArrayMemoryError)
       20    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 argparse.py:1694(_get_handler)
       18    0.000    0.000    0.000    0.000 dataclasses.py:420(<genexpr>)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:354(iinfo)
        3    0.000    0.000    0.000    0.000 locale.py:386(normalize)
        5    0.000    0.000    0.000    0.000 enum.py:947(_find_data_repr_)
        1    0.000    0.000    0.000    0.000 threading.py:146(_RLock)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:325(AxisConcatenator)
        8    0.000    0.000    0.000    0.000 functools.py:1095(__init__)
        4    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        1    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:386(errstate)
       11    0.000    0.000    0.000    0.000 fromnumeric.py:3482(ndim)
        4    0.000    0.000    0.000    0.000 warnings.py:80(__enter__)
        1    0.000    0.000    0.000    0.000 threading.py:685(Barrier)
        2    0.000    0.000    0.000    0.000 __init__.py:310(get_preferred_scheme)
        4    0.000    0.000    0.000    0.000 dataclasses.py:336(__set_name__)
        4    0.000    0.000    0.000    0.000 argparse.py:659(_expand_help)
        4    0.000    0.000    0.000    0.000 annotationlib.py:683(create_unique_name)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 contextlib.py:41(AbstractAsyncContextManager)
        1    0.000    0.000    0.000    0.000 threading.py:290(__init__)
       20    0.000    0.000    0.000    0.000 fromnumeric.py:2202(_clip_dispatcher)
        1    0.000    0.000    0.000    0.000 version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cnn.py:23(Conv2D)
        1    0.000    0.000    0.000    0.000 hmac.py:42(HMAC)
        1    0.000    0.000    0.000    0.000 argparse.py:1157(__init__)
        1    0.000    0.000    0.000    0.000 _internal.py:591(_Stream)
        1    0.000    0.000    0.000    0.000 _streams.py:33(DecompressReader)
       34    0.000    0.000    0.000    0.000 enum.py:236(__init__)
        6    0.000    0.000    0.000    0.000 _pytesttester.py:75(__init__)
       17    0.000    0.000    0.000    0.000 _compiler.py:33(_combine_flags)
        1    0.000    0.000    0.000    0.000 argparse.py:1415(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 typing.py:3592(BinaryIO)
        1    0.000    0.000    0.000    0.000 _colorize.py:115(ThemeSection)
        8    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        7    0.000    0.000    0.000    0.000 argparse.py:1703(_check_conflict)
        1    0.000    0.000    0.000    0.000 _datasource.py:195(DataSource)
        1    0.000    0.000    0.000    0.000 _iotools.py:229(NameValidator)
        4    0.000    0.000    0.000    0.000 inspect.py:196(ismethoddescriptor)
        1    0.000    0.000    0.000    0.000 _npyio_impl.py:115(NpzFile)
        1    0.000    0.000    0.000    0.000 _function_base_impl.py:2267(vectorize)
        4    0.000    0.000    0.000    0.000 <frozen ntpath>:34(_get_bothseps)
        1    0.000    0.000    0.000    0.000 _internal.py:262(_ctypes)
        1    0.000    0.000    0.000    0.000 typing.py:2879(SupportsComplex)
       16    0.000    0.000    0.000    0.000 typing.py:2974(<genexpr>)
        2    0.000    0.000    0.000    0.000 _dtype_like.py:29(__annotate__)
        8    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       10    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 _colorize.py:16(ANSIColors)
        1    0.000    0.000    0.000    0.000 _colorize.py:157(Argparse)
        1    0.000    0.000    0.000    0.000 inspect.py:1693(_shadowed_dict_from_weakref_mro_tuple)
        1    0.000    0.000    0.000    0.000 records.py:196(record)
        4    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
        4    0.000    0.000    0.000    0.000 dataclasses.py:705(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:313(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method _ctypes.LoadLibrary}
       13    0.000    0.000    0.000    0.000 typing.py:501(__init_subclass__)
        8    0.000    0.000    0.000    0.000 typing.py:3109(_namedtuple_mro_entries)
        3    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
       14    0.000    0.000    0.000    0.000 {method 'islower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 numbers.py:292(Rational)
        1    0.000    0.000    0.000    0.000 threading.py:408(notify)
        1    0.000    0.000    0.000    0.000 _internal.py:211(dummy_ctype)
        1    0.000    0.000    0.000    0.000 __init__.py:534(LibraryLoader)
        1    0.000    0.000    0.000    0.000 _arrayterator_impl.py:16(Arrayterator)
       10    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        4    0.000    0.000    0.000    0.000 argparse.py:2429(_parse_optional)
        4    0.000    0.000    0.000    0.000 typing.py:1033(_is_typevar_like)
        1    0.000    0.000    0.000    0.000 contextlib.py:631(AsyncExitStack)
        1    0.000    0.000    0.000    0.000 platform.py:882(_Processor)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1106(_resolve_filename)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:343(expanduser)
        4    0.000    0.000    0.000    0.000 warnings.py:84(__exit__)
       11    0.000    0.000    0.000    0.000 fromnumeric.py:3478(_ndim_dispatcher)
        4    0.000    0.000    0.000    0.000 __init__.py:604(CFunctionType)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:13(_NestedSequence)
       24    0.000    0.000    0.000    0.000 inspect.py:2737(default)
        1    0.000    0.000    0.000    0.000 _colorize.py:174(Syntax)
        7    0.000    0.000    0.000    0.000 typing.py:2709(final)
       12    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 arrayprint.py:1455(StructuredVoidFormat)
        1    0.000    0.000    0.000    0.000 __init__.py:396(CDLL)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:266(__init__)
        1    0.000    0.000    0.000    0.000 _iotools.py:133(LineSplitter)
        4    0.000    0.000    0.000    0.000 mixins.py:52(_unary_method)
        1    0.000    0.000    0.000    0.000 random.py:225(__init_subclass__)
        1    0.000    0.000    0.000    0.000 contextlib.py:775(nullcontext)
        2    0.000    0.000    0.000    0.000 _ufunc_config.py:462(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:459(Semaphore)
        1    0.000    0.000    0.000    0.000 typing.py:2857(SupportsInt)
        2    0.000    0.000    0.000    0.000 _arraysetops_impl.py:419(__annotate__)
        5    0.000    0.000    0.000    0.000 dataclasses.py:1414(dataclass)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:12(__init__)
        1    0.000    0.000    0.000    0.000 _py_warnings.py:681(deprecated)
        1    0.000    0.000    0.000    0.000 _globals.py:53(__new__)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:549(__init__)
        2    0.000    0.000    0.000    0.000 _dtype_like.py:35(__annotate__)
        1    0.000    0.000    0.000    0.000 _colorize.py:174(__annotate__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.urandom}
        8    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 inspect.py:432(isbuiltin)
        1    0.000    0.000    0.000    0.000 typing.py:3660(_IdentityCallable)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:723(IndexExpression)
        4    0.000    0.000    0.000    0.000 typing.py:3152(<genexpr>)
        9    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(is_package)
        7    0.000    0.000    0.000    0.000 <frozen _collections_abc>:439(__subclasshook__)
        1    0.000    0.000    0.000    0.000 argparse.py:961(_StoreAction)
        1    0.000    0.000    0.000    0.000 _colorize.py:189(Traceback)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1161(create_module)
        7    0.000    0.000    0.000    0.000 enum.py:1324(value)
        1    0.000    0.000    0.000    0.000 argparse.py:1334(FileType)
        1    0.000    0.000    0.000    0.000 pickle.py:193(_Framer)
        1    0.000    0.000    0.000    0.000 threading.py:278(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:591(Event)
        1    0.000    0.000    0.000    0.000 typing.py:1215(_BaseGenericAlias)
        1    0.000    0.000    0.000    0.000 typing.py:2912(SupportsAbs)
        1    0.000    0.000    0.000    0.000 cnn.py:175(ReLU)
        1    0.000    0.000    0.000    0.000 _version.py:13(NumpyVersion)
        1    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
        8    0.000    0.000    0.000    0.000 {method 'removeprefix' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _weakrefset.py:45(add)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1333(ComplexFloatingFormat)
        1    0.000    0.000    0.000    0.000 memmap.py:23(memmap)
        1    0.000    0.000    0.000    0.000 typing.py:2923(SupportsRound)
        1    0.000    0.000    0.000    0.000 typing.py:3641(<generic parameters of reveal_type>)
        4    0.000    0.000    0.000    0.000 {built-in method maketrans}
        4    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._reload_guard}
       10    0.000    0.000    0.000    0.000 <frozen _collections_abc>:345(__subclasshook__)
        5    0.000    0.000    0.000    0.000 dataclasses.py:437(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:994(__call__)
        1    0.000    0.000    0.000    0.000 contextlib.py:89(AsyncContextDecorator)
        1    0.000    0.000    0.000    0.000 typing.py:1791(_UnpackGenericAlias)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:44(_HasDType)
        1    0.000    0.000    0.000    0.000 _array_api_info.py:30(__array_namespace_info__)
        1    0.000    0.000    0.000    0.000 _colorize.py:157(__annotate__)
        8    0.000    0.000    0.000    0.000 functools.py:1101(__set_name__)
        1    0.000    0.000    0.000    0.000 _py_warnings.py:67(_GlobalContext)
        1    0.000    0.000    0.000    0.000 typing.py:2144(_AnnotatedAlias)
        1    0.000    0.000    0.000    0.000 typing.py:2868(SupportsFloat)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:583(__init__)
        6    0.000    0.000    0.000    0.000 {method 'has_default' of 'typing.TypeVar' objects}
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        4    0.000    0.000    0.000    0.000 _py_warnings.py:89(_get_context)
        1    0.000    0.000    0.000    0.000 exceptions.py:108(AxisError)
        1    0.000    0.000    0.000    0.000 pickle.py:256(_Unframer)
        1    0.000    0.000    0.000    0.000 threading.py:328(_is_owned)
        2    0.000    0.000    0.000    0.000 _index_tricks_impl.py:337(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:44(FrameInfo)
        1    0.000    0.000    0.000    0.000 _exceptions.py:52(_UFuncBinaryResolutionError)
        1    0.000    0.000    0.000    0.000 threading.py:316(__exit__)
        1    0.000    0.000    0.000    0.000 typing.py:166(__getattr__)
        2    0.000    0.000    0.000    0.000 _arraysetops_impl.py:426(__annotate__)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:49(_HasNumPyDType)
        1    0.000    0.000    0.000    0.000 _colorize.py:201(Unittest)
        1    0.000    0.000    0.000    0.000 random.py:888(SystemRandom)
        2    0.000    0.000    0.000    0.000 argparse.py:2668(_check_value)
        5    0.000    0.000    0.000    0.000 reprlib.py:9(recursive_repr)
        8    0.000    0.000    0.000    0.000 inspect.py:3042(parameters)
        1    0.000    0.000    0.000    0.000 _py_warnings.py:596(catch_warnings)
        1    0.000    0.000    0.000    0.000 _exceptions.py:37(_UFuncNoLoopError)
        1    0.000    0.000    0.000    0.000 typing.py:2890(SupportsBytes)
        1    0.000    0.000    0.000    0.000 typing.py:2901(SupportsIndex)
        1    0.000    0.000    0.000    0.000 _datasource.py:532(Repository)
        2    0.000    0.000    0.000    0.000 _arraysetops_impl.py:431(__annotate__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:31(UFuncTypeError)
        1    0.000    0.000    0.000    0.000 records.py:279(recarray)
        1    0.000    0.000    0.000    0.000 typing.py:3423(NewType)
        1    0.000    0.000    0.000    0.000 _utils_impl.py:126(_Deprecate)
        1    0.000    0.000    0.000    0.000 _colorize.py:189(__annotate__)
        1    0.000    0.000    0.000    0.000 _globals.py:32(_NoValueType)
        1    0.000    0.000    0.000    0.000 _linalg.py:84(EigResult)
        1    0.000    0.000    0.000    0.000 _array_like.py:31(_SupportsArray)
        6    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        1    0.000    0.000    0.000    0.000 records.py:56(format_parser)
        2    0.000    0.000    0.000    0.000 __init__.py:105(CFunctionType)
        1    0.000    0.000    0.000    0.000 typing.py:1974(_ProtocolMeta)
        1    0.000    0.000    0.000    0.000 typing.py:3138(_TypedDictMeta)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:318(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:72(_FileOpeners)
        1    0.000    0.000    0.000    0.000 cnn.py:122(MaxPool2D)
        5    0.000    0.000    0.000    0.000 dataclasses.py:359(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:2412(_match_arguments_partial)
        1    0.000    0.000    0.000    0.000 argparse.py:1749(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 threading.py:1308(_make_invoke_excepthook)
        1    0.000    0.000    0.000    0.000 __init__.py:307(_PointerTypeCache)
        1    0.000    0.000    0.000    0.000 threading.py:1054(_set_native_id)
        1    0.000    0.000    0.000    0.000 typing.py:2091(Protocol)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:211(MGridClass)
        1    0.000    0.000    0.000    0.000 _linalg.py:100(SVDResult)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:7(NBitBase)
        1    0.000    0.000    0.000    0.000 _array_like.py:36(_SupportsArrayFunc)
        1    0.000    0.000    0.000    0.000 _npyio_impl.py:50(BagObj)
        1    0.000    0.000    0.000    0.000 _streams.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 arrayprint.py:977(FloatingFormat)
        1    0.000    0.000    0.000    0.000 cnn.py:266(CNN)
        4    0.000    0.000    0.000    0.000 __init__.py:535(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:289(_get_preferred_schemes)
        1    0.000    0.000    0.000    0.000 typing.py:1679(_UnionGenericAliasMeta)
        2    0.000    0.000    0.000    0.000 _index_tricks_impl.py:143(__init__)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:590(ndenumerate)
        2    0.000    0.000    0.000    0.000 cnn.py:176(__init__)
        1    0.000    0.000    0.000    0.000 _colorize.py:210(__annotate__)
        4    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        1    0.000    0.000    0.000    0.000 <frozen os>:1145(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:109(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1993(_get_positional_actions)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:45(PytestTester)
        1    0.000    0.000    0.000    0.000 __init__.py:494(PyDLL)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:107(nd_grid)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:640(ndindex)
        1    0.000    0.000    0.000    0.000 _linalg.py:88(EighResult)
        1    0.000    0.000    0.000    0.000 _datasource.py:97(__init__)
        1    0.000    0.000    0.000    0.000 introspect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _colorize.py:201(__annotate__)
        4    0.000    0.000    0.000    0.000 {built-in method _warnings._acquire_lock}
        8    0.000    0.000    0.000    0.000 inspect.py:3046(return_annotation)
        1    0.000    0.000    0.000    0.000 _py_warnings.py:52(_Context)
        4    0.000    0.000    0.000    0.000 _py_warnings.py:71(_filters)
        1    0.000    0.000    0.000    0.000 argparse.py:923(BooleanOptionalAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1155(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1176(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1793(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 _globals.py:99(_SignatureDescriptor)
        1    0.000    0.000    0.000    0.000 _exceptions.py:67(_UFuncCastingError)
        1    0.000    0.000    0.000    0.000 _convertions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1392(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 contextlib.py:557(ExitStack)
        1    0.000    0.000    0.000    0.000 threading.py:1438(_DummyThread)
        1    0.000    0.000    0.000    0.000 typing.py:576(_AnyMeta)
        1    0.000    0.000    0.000    0.000 threading.py:546(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 typing.py:1600(_DeprecatedGenericAlias)
        1    0.000    0.000    0.000    0.000 _linalg.py:96(SlogdetResult)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:29(_DTypeDictBase)
        1    0.000    0.000    0.000    0.000 _arraysetops_impl.py:426(UniqueCountsResult)
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        2    0.000    0.000    0.000    0.000 argparse.py:2519(_get_nargs_pattern)
        1    0.000    0.000    0.000    0.000 argparse.py:220(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:825(Action)
        5    0.000    0.000    0.000    0.000 multiarray.py:197(concatenate)
        1    0.000    0.000    0.000    0.000 exceptions.py:47(ComplexWarning)
        1    0.000    0.000    0.000    0.000 contextlib.py:342(closing)
        1    0.000    0.000    0.000    0.000 contextlib.py:393(_RedirectStream)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1366(_TimelikeFormat)
        1    0.000    0.000    0.000    0.000 threading.py:1361(Timer)
        1    0.000    0.000    0.000    0.000 threading.py:1409(_DeleteDummyThreadOnDel)
        1    0.000    0.000    0.000    0.000 typing.py:588(Any)
        1    0.000    0.000    0.000    0.000 typing.py:1615(_CallableGenericAlias)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:273(OGridClass)
        1    0.000    0.000    0.000    0.000 typing.py:3752(<generic parameters of override>)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:452(RClass)
        1    0.000    0.000    0.000    0.000 _linalg.py:92(QRResult)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:35(_DTypeDict)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:14(DummyArray)
        1    0.000    0.000    0.000    0.000 _arraysetops_impl.py:431(UniqueInverseResult)
        1    0.000    0.000    0.000    0.000 cnn.py:207(Dense)
        1    0.000    0.000    0.000    0.000 _colorize.py:346(set_theme)
        3    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1395(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:754(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 _exceptions.py:76(_UFuncInputCastingError)
        1    0.000    0.000    0.000    0.000 pickle.py:96(_Stop)
        1    0.000    0.000    0.000    0.000 contextlib.py:66(ContextDecorator)
        1    0.000    0.000    0.000    0.000 contextlib.py:105(_GeneratorContextManagerBase)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1304(IntegerFormat)
        1    0.000    0.000    0.000    0.000 contextlib.py:367(aclosing)
        1    0.000    0.000    0.000    0.000 contextlib.py:433(suppress)
        1    0.000    0.000    0.000    0.000 contextlib.py:802(chdir)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1429(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 _internal.py:257(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:525(OleDLL)
        1    0.000    0.000    0.000    0.000 typing.py:165(_LazyAnnotationLib)
        1    0.000    0.000    0.000    0.000 typing.py:424(_Sentinel)
        1    0.000    0.000    0.000    0.000 typing.py:506(_NotIterable)
        1    0.000    0.000    0.000    0.000 typing.py:1720(_LiteralGenericAlias)
        1    0.000    0.000    0.000    0.000 _arraysetops_impl.py:419(UniqueAllResult)
        1    0.000    0.000    0.000    0.000 cnn.py:235(SoftmaxCrossEntropy)
        3    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:218(_Section)
        1    0.000    0.000    0.000    0.000 argparse.py:998(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1023(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1061(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1101(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1130(_CountAction)
        1    0.000    0.000    0.000    0.000 argparse.py:796(ArgumentError)
