Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_53_3,VGND,li1,9.6600,157.7600,0.000006
FILLER_52_327,VGND,li1,157.7800,152.3200,0.000069
FILLER_52_315,VGND,li1,153.1800,152.3200,0.000069
FILLER_52_309,VGND,li1,148.3500,152.3200,0.000069
FILLER_52_304,VGND,li1,146.2800,152.3200,0.000069
FILLER_52_292,VGND,li1,142.6000,152.3200,0.000069
FILLER_52_270,VGND,li1,131.5600,152.3200,0.000068
FILLER_52_251,VGND,li1,121.2100,152.3200,0.000066
FILLER_52_240,VGND,li1,116.1500,152.3200,0.000065
FILLER_52_228,VGND,li1,113.1600,152.3200,0.000064
FILLER_52_217,VGND,li1,105.5700,152.3200,0.000061
FILLER_52_205,VGND,li1,102.5800,152.3200,0.000060
FILLER_52_197,VGND,li1,96.3700,152.3200,0.000056
FILLER_52_193,VGND,li1,94.9900,152.3200,0.000056
FILLER_52_181,VGND,li1,91.5400,152.3200,0.000055
FILLER_52_178,VGND,li1,87.6300,152.3200,0.000052
FILLER_52_172,VGND,li1,86.0200,152.3200,0.000052
FILLER_52_160,VGND,li1,81.8800,152.3200,0.000050
FILLER_52_143,VGND,li1,72.2200,152.3200,0.000046
FILLER_52_127,VGND,li1,65.3200,152.3200,0.000042
FILLER_52_115,VGND,li1,61.1800,152.3200,0.000039
FILLER_52_103,VGND,li1,55.6600,152.3200,0.000036
FILLER_52_93,VGND,li1,48.5300,152.3200,0.000031
FILLER_52_85,VGND,li1,46.4600,152.3200,0.000029
FILLER_52_82,VGND,li1,43.7000,152.3200,0.000027
FILLER_52_70,VGND,li1,40.4800,152.3200,0.000024
FILLER_52_56,VGND,li1,31.5100,152.3200,0.000017
FILLER_52_50,VGND,li1,29.9000,152.3200,0.000014
FILLER_52_38,VGND,li1,25.7600,152.3200,0.000010
FILLER_52_29,VGND,li1,19.3200,152.3200,0.000011
FILLER_52_25,VGND,li1,17.7100,152.3200,0.000011
FILLER_52_15,VGND,li1,12.8800,152.3200,0.000011
FILLER_52_3,VGND,li1,9.6600,152.3200,0.000011
FILLER_51_333,VGND,li1,159.1600,152.3200,0.000069
