Metric,Value
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,4
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.2540004112266199
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.25429090108922875
timing__hold__ws__corner:max_ff_n40C_1v95,0.11134299353217354
timing__setup__ws__corner:max_ff_n40C_1v95,5.359469908458778
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.111343
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,2
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,2
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79912
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.7998
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000881554
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000931367
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000206466
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000931367
design_powergrid__voltage__worst,0.000931367
design_powergrid__voltage__worst__net:VPWR,1.79912
design_powergrid__drop__worst,0.000931367
design_powergrid__drop__worst__net:VPWR,0.000881554
design_powergrid__voltage__worst__net:VGND,0.000931367
design_powergrid__drop__worst__net:VGND,0.000931367
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00020399999999999999839191133776949982348014600574970245361328125
ir__drop__worst,0.000881999999999999971522779418364734738133847713470458984375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
