Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_134_345,VPWR,li1,166.9800,378.0800,1.799992
FILLER_134_333,VPWR,li1,161.4600,378.0800,1.799991
FILLER_134_321,VPWR,li1,155.9400,378.0800,1.799990
FILLER_134_309,VPWR,li1,150.4200,378.0800,1.799990
FILLER_134_307,VPWR,li1,146.9700,378.0800,1.799989
FILLER_134_301,VPWR,li1,145.3600,378.0800,1.799989
FILLER_134_289,VPWR,li1,141.2200,378.0800,1.799988
FILLER_134_277,VPWR,li1,133.8600,378.0800,1.799988
FILLER_134_265,VPWR,li1,130.1800,378.0800,1.799988
FILLER_134_253,VPWR,li1,124.6600,378.0800,1.799989
FILLER_134_251,VPWR,li1,121.2100,378.0800,1.799989
FILLER_134_245,VPWR,li1,119.6000,378.0800,1.799989
FILLER_134_233,VPWR,li1,115.4600,378.0800,1.799990
FILLER_134_221,VPWR,li1,109.9400,378.0800,1.799990
FILLER_134_209,VPWR,li1,104.4200,378.0800,1.799991
FILLER_134_197,VPWR,li1,98.9000,378.0800,1.799991
FILLER_134_195,VPWR,li1,95.4500,378.0800,1.799992
FILLER_134_189,VPWR,li1,93.8400,378.0800,1.799992
FILLER_134_177,VPWR,li1,89.7000,378.0800,1.799992
FILLER_134_165,VPWR,li1,84.1800,378.0800,1.799993
FILLER_134_153,VPWR,li1,78.6600,378.0800,1.799993
FILLER_134_141,VPWR,li1,73.1400,378.0800,1.799994
FILLER_134_139,VPWR,li1,69.6900,378.0800,1.799994
FILLER_134_133,VPWR,li1,68.0800,378.0800,1.799994
FILLER_134_121,VPWR,li1,63.9400,378.0800,1.799995
FILLER_134_109,VPWR,li1,58.4200,378.0800,1.799995
FILLER_134_97,VPWR,li1,52.9000,378.0800,1.799996
FILLER_134_85,VPWR,li1,47.3800,378.0800,1.799996
FILLER_134_83,VPWR,li1,43.9300,378.0800,1.799997
FILLER_134_77,VPWR,li1,42.3200,378.0800,1.799997
FILLER_134_65,VPWR,li1,38.1800,378.0800,1.799997
FILLER_134_53,VPWR,li1,32.6600,378.0800,1.799998
