net,length_um
_01677_,74.22µm
net56,74.17µm
_01897_,74.02µm
net791,73.955µm
net448,73.94µm
net285,73.8µm
_00417_,73.78µm
_03889_,73.52µm
_00458_,73.335µm
net198,73.26µm
_03427_,73.22µm
net679,73.16µm
_05525_,72.615µm
net114,72.6µm
_02756_,72.5µm
_03396_,72.38µm
net71,72.12µm
_03890_,71.97µm
net430,71.4µm
net295,71.26µm
net653,71.115µm
net93,70.98µm
_00263_,70.96µm
_03589_,70.755µm
net551,70.55µm
_04294_,70.52µm
_03985_,70.28µm
net151,69.9µm
_05116_,69.72µm
net582,69.66µm
net419,69.48µm
net152,69.28µm
net611,69.26µm
net282,68.86µm
_02862_,68.66µm
net540,68.615µm
net68,68.48µm
_05689_,68.42µm
net570,68.345µm
net693,68.24µm
net321,68.22µm
_02499_,68.02µm
_06645_,67.86µm
_02210_,67.845µm
net443,67.64µm
_02416_,67.6µm
_06646_,67.54µm
_02769_,67.48µm
_03499_,67.38µm
_01899_,67.3µm
net13,67.28µm
net622,67.12µm
net472,66.915µm
_04826_,66.66µm
_02216_,66.485µm
_05524_,66.3µm
net651,66.28µm
_01755_,66.22µm
_04734_,65.92µm
net579,65.44µm
net613,65.28µm
_05688_,65.18µm
net77,65µm
_01824_,64.805µm
_05136_,64.7µm
net627,64.7µm
_02110_,64.65µm
net319,64.535µm
_05226_,64.44µm
net308,63.94µm
net680,63.45µm
net586,63.38µm
net125,63.2µm
_04532_,63µm
net508,62.91µm
_03843_,62.78µm
_04741_,62.56µm
_05468_,62.36µm
net661,62.325µm
_05470_,62.3µm
net96,62.3µm
_01733_,61.96µm
_02111_,61.9µm
net461,61.82µm
_04818_,61.74µm
net556,61.545µm
_06036_,61.47µm
net839,61.2µm
net330,61.125µm
net688,60.98µm
_03998_,60.84µm
_03186_,60.76µm
_03353_,60.495µm
_06040_,60.46µm
_05785_,60.32µm
_04998_,60.04µm
net304,60µm
_00020_,59.98µm
_02333_,59.935µm
net307,59.7µm
net80,59.56µm
net564,59.395µm
_00439_,59.3µm
net608,59.21µm
net94,59.18µm
_04603_,58.86µm
_05643_,58.81µm
_03225_,58.66µm
net664,58.645µm
_02678_,58.515µm
net257,58.08µm
_01044_,58.06µm
_02088_,57.82µm
_04827_,57.78µm
_04578_,57.72µm
_03040_,57.68µm
net363,57.58µm
net436,57.19µm
_00689_,57.06µm
_01594_,57.06µm
net35,57µm
net156,56.97µm
_03698_,56.76µm
_04144_,56.68µm
_04026_,56.64µm
_02319_,56.6µm
_05115_,56.6µm
net589,56.6µm
_04967_,56.46µm
_03867_,56.38µm
_06666_,56.38µm
net504,56.34µm
_01119_,56.24µm
_02882_,56.22µm
net415,56.2µm
_04834_,56.14µm
_00886_,56.08µm
_06127_,56.08µm
net537,56µm
_02192_,55.94µm
net265,55.92µm
net245,55.72µm
_01924_,55.68µm
_04575_,55.62µm
_02415_,55.6µm
net648,55.5µm
_00552_,55.44µm
net78,55.28µm
_01092_,55.22µm
_04328_,54.98µm
_04327_,54.46µm
_03514_,54.39µm
_04985_,54.34µm
_03663_,54.29µm
_05941_,54.25µm
_00459_,54.04µm
net604,54.02µm
_02571_,54µm
_05644_,53.96µm
_00986_,53.68µm
_02538_,53.68µm
_02652_,53.6µm
_02539_,53.56µm
_06093_,53.56µm
_04333_,53.46µm
_00019_,53.44µm
net70,53.34µm
_05312_,53.3µm
_04239_,53.18µm
net645,53.175µm
_04968_,53.16µm
_06246_,53.12µm
_05823_,53.1µm
_04635_,52.94µm
_06126_,52.88µm
_06506_,52.88µm
_04807_,52.8µm
_03018_,52.7µm
_03019_,52.7µm
_03671_,52.58µm
_06655_,52.54µm
_04647_,52.44µm
_05161_,52.36µm
_03494_,52.34µm
net124,52.32µm
_04143_,52.315µm
_01465_,52.26µm
_03669_,52.22µm
net632,52.045µm
_02306_,52µm
net634,51.78µm
_05144_,51.76µm
_04444_,51.72µm
_03337_,51.7µm
_05286_,51.66µm
_02320_,51.52µm
_03604_,51.42µm
_00690_,51.38µm
_04237_,51.34µm
net434,51.17µm
_05497_,51.14µm
_00779_,51.12µm
_02543_,50.86µm
net12,50.82µm
net263,50.66µm
net155,50.62µm
net618,50.6µm
_01917_,50.58µm
net67,50.58µm
_00892_,50.52µm
_01686_,50.52µm
_03161_,50.42µm
_03838_,50.28µm
_02241_,50.16µm
_03842_,50.04µm
_06035_,50.025µm
net560,50.02µm
net345,50µm
net55,49.8µm
net353,49.66µm
net382,49.6µm
_01609_,49.57µm
net789,49.56µm
_02445_,49.54µm
_03837_,49.46µm
net463,49.42µm
_00965_,49.36µm
_00985_,49.28µm
_00961_,49.24µm
_04203_,49.22µm
_05798_,49.14µm
_04446_,49.08µm
_04774_,48.92µm
_04872_,48.82µm
_01083_,48.62µm
net578,48.52µm
_02419_,48.48µm
net584,48.41µm
_02401_,48.34µm
_04207_,48.24µm
_06318_,48.24µm
_04565_,48.16µm
_01768_,48.135µm
_05799_,48.12µm
_05463_,47.96µm
_06314_,47.885µm
_00557_,47.86µm
_06047_,47.82µm
_04573_,47.6µm
_01738_,47.46µm
_04705_,47.4µm
net554,47.4µm
_02468_,47.32µm
_02576_,47.32µm
_05942_,47.32µm
_01157_,47.1µm
_04105_,47.1µm
_00383_,46.94µm
_01345_,46.9µm
net29,46.88µm
_00745_,46.84µm
_01687_,46.8µm
_04441_,46.8µm
_04837_,46.62µm
_02940_,46.54µm
_06132_,46.54µm
_00361_,46.48µm
_01583_,46.44µm
_04648_,46.44µm
_03781_,46.34µm
_04905_,46.32µm
_02444_,46.245µm
net673,46.12µm
net57,45.985µm
_03020_,45.94µm
_01313_,45.88µm
_06160_,45.86µm
_03972_,45.8µm
_04520_,45.7µm
_05639_,45.69µm
_00287_,45.68µm
_00732_,45.68µm
_05345_,45.64µm
_04823_,45.58µm
net685,45.5µm
_00556_,45.435µm
net386,45.41µm
_03157_,45.34µm
_02368_,45.3µm
net154,45.3µm
_00657_,45.26µm
_00701_,45.14µm
net683,45.06µm
_04712_,45.04µm
_00211_,44.96µm
_04536_,44.9µm
_06625_,44.9µm
_00887_,44.82µm
_05577_,44.72µm
_03999_,44.705µm
_03666_,44.68µm
_02355_,44.635µm
net562,44.5µm
_01141_,44.49µm
_02338_,44.44µm
_04604_,44.4µm
_00962_,44.34µm
_05579_,44.12µm
_00989_,43.88µm
_02673_,43.88µm
net72,43.82µm
_02450_,43.76µm
_00553_,43.74µm
net576,43.72µm
_03312_,43.7µm
net637,43.66µm
_04820_,43.64µm
net786,43.58µm
_03527_,43.54µm
_03163_,43.46µm
_06358_,43.42µm
_02962_,43.4µm
_01078_,43.3µm
_00546_,43.28µm
_04798_,43.28µm
_00831_,43.26µm
_06165_,43.26µm
_05300_,43.17µm
_03397_,43.16µm
net659,43.06µm
net354,43µm
_04364_,42.96µm
net69,42.96µm
_00166_,42.94µm
_01057_,42.92µm
_00388_,42.88µm
_00656_,42.88µm
_04236_,42.86µm
_03058_,42.82µm
net630,42.82µm
net610,42.8µm
net51,42.77µm
_02165_,42.76µm
net691,42.57µm
_05465_,42.56µm
_06183_,42.54µm
_02588_,42.44µm
_03909_,42.34µm
_04593_,42.34µm
_03026_,42.3µm
_05640_,42.26µm
_03994_,41.98µm
net500,41.94µm
net558,41.885µm
_04332_,41.78µm
net459,41.78µm
_06487_,41.77µm
_01575_,41.76µm
_04957_,41.64µm
_02418_,41.62µm
_04092_,41.61µm
_02215_,41.54µm
_01354_,41.45µm
_00785_,41.44µm
_00749_,41.42µm
_05544_,41.34µm
_02456_,41.22µm
_04157_,41.22µm
net347,41.22µm
_04517_,41.185µm
_06649_,41.18µm
_03567_,41.12µm
_01453_,41.06µm
net244,41µm
_05990_,40.94µm
_03579_,40.86µm
_03308_,40.84µm
net216,40.7µm
_05236_,40.68µm
_00580_,40.655µm
_03513_,40.64µm
_02316_,40.52µm
_02929_,40.5µm
_03993_,40.425µm
net675,40.385µm
_06009_,40.38µm
_00938_,40.34µm
_05745_,40.32µm
_03725_,40.3µm
_06480_,40.2µm
_03484_,40.19µm
_02001_,40.08µm
net351,40.08µm
net804,40.08µm
_06529_,40µm
_04012_,39.95µm
_03081_,39.88µm
_01439_,39.86µm
_05890_,39.76µm
_03362_,39.74µm
_06496_,39.68µm
_01848_,39.62µm
net131,39.52µm
net248,39.52µm
_00775_,39.5µm
_06007_,39.5µm
_00535_,39.4µm
_06085_,39.4µm
_02872_,39.3µm
_06342_,39.16µm
_03691_,39.06µm
_00750_,38.98µm
_03744_,38.98µm
_02129_,38.92µm
_03311_,38.9µm
_04109_,38.78µm
_00823_,38.76µm
_01391_,38.76µm
_03537_,38.7µm
_05336_,38.62µm
_01030_,38.56µm
_05773_,38.34µm
_04841_,38.22µm
net261,38.185µm
_00744_,38.165µm
_04693_,38.12µm
_03546_,38.08µm
_03834_,38.08µm
_04093_,38.03µm
_04544_,38.02µm
net788,38.01µm
_06159_,37.915µm
_03636_,37.86µm
_05297_,37.84µm
_03004_,37.78µm
_03127_,37.78µm
_00774_,37.64µm
_06488_,37.62µm
_04208_,37.6µm
_01942_,37.56µm
_01838_,37.48µm
_04669_,37.48µm
_01744_,37.44µm
_06502_,37.44µm
_03379_,37.28µm
_05107_,37.14µm
_02572_,37.12µm
_06562_,37.1µm
net276,36.86µm
_05487_,36.78µm
_00829_,36.62µm
net506,36.5µm
_05918_,36.44µm
_03584_,36.42µm
_05903_,36.4µm
_06244_,36.4µm
_01574_,36.3µm
net384,36.3µm
_03534_,36.29µm
_02356_,36.18µm
_06172_,36.12µm
_06336_,36.04µm
_04321_,36.035µm
_03307_,36.02µm
_05583_,35.96µm
_06166_,35.95µm
_00830_,35.84µm
_04404_,35.78µm
_00642_,35.76µm
net743,35.76µm
net11,35.72µm
_05435_,35.66µm
_00343_,35.64µm
_03944_,35.6µm
_00333_,35.54µm
_02421_,35.52µm
_03540_,35.455µm
_01111_,35.24µm
_01231_,35.22µm
_04901_,35.22µm
_02211_,35.18µm
net199,35.14µm
_05904_,35.1µm
_04927_,35.08µm
_05955_,35.08µm
_05155_,35.06µm
_01177_,35.04µm
net203,35µm
_04246_,34.92µm
_00272_,34.885µm
net429,34.86µm
_02758_,34.84µm
_03386_,34.82µm
_04675_,34.82µm
_01322_,34.8µm
_04190_,34.8µm
_00998_,34.78µm
net339,34.74µm
_04106_,34.7µm
_06552_,34.68µm
net147,34.68µm
_04958_,34.64µm
_05414_,34.58µm
_05366_,34.46µm
_04298_,34.44µm
_00477_,34.4µm
_04962_,34.4µm
_05552_,34.32µm
_02049_,34.3µm
net426,34.22µm
net50,34.18µm
_04302_,34.15µm
net328,34.15µm
_05306_,34.14µm
_05494_,34.14µm
_02511_,34.13µm
_01377_,34.1µm
_01430_,34.045µm
_06280_,33.95µm
_05709_,33.86µm
_04800_,33.84µm
_05106_,33.8µm
_05971_,33.78µm
_06074_,33.76µm
_01888_,33.7µm
_05196_,33.7µm
_06378_,33.58µm
net66,33.58µm
_00440_,33.52µm
_03733_,33.52µm
_05796_,33.5µm
_06237_,33.485µm
net288,33.46µm
_00231_,33.4µm
_03099_,33.4µm
_01204_,33.34µm
_01379_,33.34µm
_00387_,33.26µm
_04526_,33.18µm
_01443_,33.16µm
_02053_,33.16µm
_06638_,33.1µm
_03659_,33.02µm
_00574_,33µm
_01785_,32.98µm
_05040_,32.98µm
_02260_,32.94µm
_01031_,32.92µm
net278,32.905µm
_04512_,32.88µm
_03635_,32.84µm
_01544_,32.8µm
_04813_,32.64µm
net451,32.62µm
_00597_,32.58µm
_00659_,32.56µm
_06497_,32.44µm
_00404_,32.38µm
_00508_,32.36µm
_06346_,32.3µm
_00306_,32.24µm
_02920_,32.24µm
_06479_,32.22µm
_01307_,32.18µm
_02185_,32.18µm
_01727_,32.16µm
_05378_,32.16µm
_02323_,32.1µm
_01967_,32.04µm
_06271_,32.04µm
_02913_,32.01µm
_00792_,31.96µm
_02106_,31.96µm
_04588_,31.9µm
net212,31.9µm
net200,31.88µm
_01983_,31.84µm
_02875_,31.84µm
_02654_,31.78µm
_05748_,31.74µm
net148,31.72µm
_00251_,31.7µm
_00304_,31.68µm
_04045_,31.58µm
_04361_,31.58µm
_03130_,31.52µm
_04548_,31.52µm
_03158_,31.44µm
_02639_,31.42µm
_00411_,31.385µm
_00228_,31.38µm
net496,31.33µm
_06495_,31.285µm
_02578_,31.28µm
_04863_,31.28µm
_00852_,31.24µm
_03539_,31.24µm
_04434_,31.24µm
net670,31.105µm
_02059_,31.1µm
_00581_,31.08µm
_02927_,31.08µm
_05403_,31.03µm
_01330_,31.02µm
_01878_,30.9µm
_03485_,30.9µm
_05907_,30.88µm
_01287_,30.86µm
_00455_,30.66µm
_00529_,30.66µm
_01617_,30.66µm
_04354_,30.66µm
_05894_,30.61µm
_02877_,30.58µm
_03752_,30.58µm
_03048_,30.56µm
_00200_,30.54µm
_02393_,30.52µm
_00046_,30.46µm
_01220_,30.46µm
_06177_,30.4µm
_01249_,30.38µm
_04112_,30.3µm
_05237_,30.3µm
_02621_,30.28µm
_06005_,30.2µm
_00937_,30.16µm
_02203_,30.16µm
_04899_,30.14µm
_00859_,30.12µm
_00002_,30.1µm
_04378_,30.04µm
_03904_,30.02µm
_03719_,30.01µm
_06243_,29.98µm
_03044_,29.96µm
_04471_,29.9µm
_02199_,29.88µm
_01749_,29.86µm
_03789_,29.86µm
_04011_,29.86µm
_01757_,29.85µm
net656,29.78µm
_05779_,29.76µm
_02390_,29.72µm
_04172_,29.72µm
_01655_,29.68µm
_06004_,29.62µm
_05042_,29.58µm
_05490_,29.575µm
_01446_,29.54µm
net24,29.5µm
_03162_,29.48µm
_04836_,29.44µm
_00147_,29.42µm
_04162_,29.42µm
_03874_,29.38µm
_04008_,29.36µm
_03773_,29.31µm
_03856_,29.3µm
_00139_,29.28µm
_00635_,29.28µm
_04440_,29.28µm
_04829_,29.28µm
_05631_,29.26µm
_06131_,29.2µm
_04972_,29.09µm
_01121_,29.06µm
_01591_,29.06µm
_02307_,29.03µm
_05613_,29.02µm
_00832_,28.96µm
_00054_,28.92µm
_03006_,28.88µm
_02224_,28.74µm
_04202_,28.74µm
_06087_,28.72µm
net549,28.67µm
_04007_,28.66µm
_06207_,28.66µm
_00281_,28.64µm
_00034_,28.6µm
_02874_,28.6µm
_06249_,28.6µm
_03667_,28.54µm
_00052_,28.5µm
_00862_,28.48µm
_04359_,28.48µm
_05238_,28.42µm
_05267_,28.4µm
net246,28.36µm
_00191_,28.35µm
_03168_,28.32µm
_00012_,28.31µm
_02919_,28.3µm
_04398_,28.26µm
net753,28.26µm
_00822_,28.24µm
_03487_,28.22µm
_02300_,28.17µm
_04356_,28.14µm
_03717_,28.12µm
_04928_,28.12µm
net367,28.12µm
_01944_,28.08µm
_04991_,28.035µm
_01367_,27.94µm
_01971_,27.9µm
_05801_,27.88µm
_02374_,27.85µm
net54,27.84µm
_04676_,27.79µm
_04611_,27.78µm
_04085_,27.76µm
net215,27.7µm
_06489_,27.66µm
net380,27.66µm
_00860_,27.6µm
_01179_,27.56µm
_03333_,27.56µm
_06357_,27.56µm
_06420_,27.54µm
_03056_,27.5µm
_03270_,27.5µm
_03830_,27.5µm
_06248_,27.41µm
_00143_,27.38µm
_02738_,27.38µm
_05685_,27.38µm
_05186_,27.34µm
_02060_,27.32µm
_01892_,27.3µm
_04634_,27.3µm
_00220_,27.28µm
_04930_,27.28µm
_02884_,27.24µm
_05635_,27.18µm
_03343_,27.16µm
_06629_,27.16µm
net234,27.16µm
_02860_,27.14µm
_01445_,27.125µm
_01564_,27.08µm
_03281_,27.08µm
_00410_,27.04µm
_02146_,27.04µm
_03335_,27.02µm
_04862_,27.02µm
_04724_,26.99µm
_02743_,26.98µm
_06662_,26.97µm
_06490_,26.96µm
_06494_,26.96µm
_02650_,26.94µm
_03057_,26.94µm
_01209_,26.82µm
_04912_,26.8µm
_03101_,26.76µm
_03488_,26.76µm
_00310_,26.74µm
_03679_,26.67µm
_00568_,26.65µm
_00894_,26.62µm
_01403_,26.62µm
_01505_,26.62µm
_06011_,26.62µm
_05271_,26.56µm
_03925_,26.52µm
_04720_,26.52µm
_04299_,26.46µm
_01545_,26.4µm
_05590_,26.32µm
_02664_,26.24µm
_02219_,26.22µm
net171,26.2µm
_00037_,26.18µm
w32[1],26.17µm
_00857_,26.16µm
_02446_,26.14µm
_04695_,26.14µm
_04094_,26.1µm
_05517_,26.1µm
_00412_,26.06µm
_00669_,26.06µm
_02052_,26.06µm
_05466_,26µm
_04529_,25.98µm
_05124_,25.98µm
_06334_,25.96µm
_06372_,25.91µm
_05891_,25.9µm
net785,25.9µm
_01867_,25.89µm
_01300_,25.885µm
_03855_,25.86µm
_02381_,25.815µm
_00717_,25.8µm
_02971_,25.8µm
_05519_,25.8µm
_01567_,25.78µm
_02167_,25.75µm
_01325_,25.725µm
_05883_,25.7µm
_01405_,25.64µm
_01566_,25.64µm
_02752_,25.64µm
_03050_,25.64µm
_00055_,25.62µm
_01195_,25.62µm
_01309_,25.62µm
_05281_,25.6µm
_06599_,25.6µm
_03491_,25.58µm
_05352_,25.56µm
_06117_,25.56µm
_04963_,25.54µm
_02380_,25.5µm
_06098_,25.5µm
_00569_,25.49µm
_05842_,25.48µm
_01366_,25.46µm
_03028_,25.46µm
_02866_,25.4µm
_00644_,25.38µm
_03582_,25.36µm
_04253_,25.36µm
_01804_,25.34µm
_04508_,25.34µm
_03143_,25.32µm
net754,25.315µm
