Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_40_223,VGND,li1,108.5600,119.6800,0.000227
FILLER_40_217,VGND,li1,106.0300,119.6800,0.000225
FILLER_40_209,VGND,li1,103.5000,119.6800,0.000221
FILLER_40_197,VGND,li1,98.9000,119.6800,0.000215
FILLER_40_194,VGND,li1,95.2200,119.6800,0.000209
FILLER_40_182,VGND,li1,92.0000,119.6800,0.000204
FILLER_40_170,VGND,li1,86.4800,119.6800,0.000193
FILLER_40_151,VGND,li1,76.8200,119.6800,0.000176
FILLER_40_141,VGND,li1,70.8400,119.6800,0.000166
FILLER_40_126,VGND,li1,64.8600,119.6800,0.000153
FILLER_40_114,VGND,li1,60.7200,119.6800,0.000142
FILLER_40_102,VGND,li1,55.2000,119.6800,0.000125
FILLER_40_93,VGND,li1,48.9900,119.6800,0.000109
FILLER_40_85,VGND,li1,46.4600,119.6800,0.000103
FILLER_40_83,VGND,li1,43.9300,119.6800,0.000093
FILLER_40_79,VGND,li1,42.7800,119.6800,0.000093
FILLER_40_73,VGND,li1,39.3300,119.6800,0.000078
FILLER_40_67,VGND,li1,37.7200,119.6800,0.000078
FILLER_40_60,VGND,li1,33.3500,119.6800,0.000064
FILLER_40_44,VGND,li1,26.4500,119.6800,0.000037
FILLER_40_32,VGND,li1,23.0000,119.6800,0.000038
FILLER_40_27,VGND,li1,18.1700,119.6800,0.000040
FILLER_40_6,VGND,li1,8.5100,119.6800,0.000041
FILLER_39_281,VGND,li1,135.4700,119.6800,0.000251
FILLER_39_238,VGND,li1,115.9200,119.6800,0.000236
FILLER_39_225,VGND,li1,109.4800,119.6800,0.000227
FILLER_39_223,VGND,li1,108.3300,119.6800,0.000227
FILLER_39_207,VGND,li1,100.9700,119.6800,0.000218
FILLER_39_194,VGND,li1,95.2200,119.6800,0.000209
FILLER_39_186,VGND,li1,92.9200,119.6800,0.000204
FILLER_39_180,VGND,li1,88.5500,119.6800,0.000197
FILLER_39_176,VGND,li1,87.4000,119.6800,0.000197
FILLER_39_166,VGND,li1,82.3400,119.6800,0.000189
FILLER_39_150,VGND,li1,75.4400,119.6800,0.000176
FILLER_39_129,VGND,li1,65.0900,119.6800,0.000153
FILLER_39_117,VGND,li1,62.1000,119.6800,0.000142
FILLER_39_110,VGND,li1,56.5800,119.6800,0.000131
FILLER_39_102,VGND,li1,54.2800,119.6800,0.000125
FILLER_39_84,VGND,li1,44.3900,119.6800,0.000093
FILLER_39_67,VGND,li1,36.5700,119.6800,0.000070
FILLER_39_55,VGND,li1,31.0500,119.6800,0.000057
FILLER_39_43,VGND,li1,28.0600,119.6800,0.000047
FILLER_39_31,VGND,li1,22.5400,119.6800,0.000038
FILLER_39_3,VGND,li1,7.1300,119.6800,0.000041
FILLER_38_282,VGND,li1,135.7000,114.2400,0.000395
FILLER_38_247,VGND,li1,119.6000,114.2400,0.000386
FILLER_38_239,VGND,li1,117.3000,114.2400,0.000384
FILLER_38_213,VGND,li1,104.1900,114.2400,0.000366
FILLER_38_139,VGND,li1,69.6900,114.2400,0.000274
FILLER_38_125,VGND,li1,64.4000,114.2400,0.000248
FILLER_38_106,VGND,li1,54.7400,114.2400,0.000209
FILLER_38_99,VGND,li1,51.2900,114.2400,0.000188
FILLER_38_93,VGND,li1,48.9900,114.2400,0.000177
FILLER_38_85,VGND,li1,46.4600,114.2400,0.000167
FILLER_38_81,VGND,li1,43.4700,114.2400,0.000149
FILLER_38_73,VGND,li1,40.9400,114.2400,0.000139
FILLER_38_61,VGND,li1,36.3400,114.2400,0.000115
FILLER_38_53,VGND,li1,30.3600,114.2400,0.000084
FILLER_38_41,VGND,li1,27.1400,114.2400,0.000067
